Address,Balance
0x000000000000000000000000000000000000dEaD,500021354334709000000
0x58Fa6f13D6A4445Cb813B6bcad80d97497a47826,158751625425712000000
0xA910f92ACdAf488fa6eF02174fb86208Ad7722ba,142086823838776000000
0xD8e996B3BeED0edF4b8fABaD192aa5BC6ef61423,37131451107438900000
0x117026Eb0C5ED7D365e78710753fc2961E085b2E,8827000000000000000
0xA4DeBF582dB3b3ab757C6aA12cB7c2886b224858,7000000000000000000
0x0093e5f2A850268c0ca3093c7EA53731296487eB,6360826527341130000
0x47fdF604ecd7670597ea576DCE91F4AB9f31def4,6000000000000000000
0x120051a72966950B8ce12eB5496B5D1eEEC1541B,2982172967502340000
0x5136a9A5D077aE4247C7706b577F77153C32A01C,2439101904622610000
0x9200635d8B2286631b589D80dFe643dE7B9F99B0,2369892893000000000
0xA20538855f65600e4ACE4B4fc3744F36622543F4,2274918066403020000
0xBf185E1971D974D19cAb410f66d28022174FFe46,1984289569212980000
0x71397CD838aA2eA3417cb43B45a8Ad18791DD43f,1593503338610210000
0x6CF713de0F8ceB145d7448A95af339ca46f84b71,1575176385456340000
0x9425C3ebb86956AD1295A2209c1CA61155D2941D,1558061104841430000
0x4ae26E87e97374f44FBf25EaB31461256840520f,1538940256027280000
0x453f614dC9B09013FA6238464da39B562318b6Aa,1423447342397980000
0xCED9b36e8c38B0B536e0efc4Dac069a43f15cD48,1360205214077450000
0x982208eE518E6e97B782e279D9D365b6A14A4D54,1269037999396040000
0x10705B92FE887e14935E44A1c1519446e15ae9C7,1126622458522130000
0xE5B8ff1ca1c3Ef2ac704783d6473Ee5a9BE7e02d,1027021723726030000
0x211E901f7CdFd244262d115321Cf9981ABBd101A,1016265202696700000
0xEE4a267E98260aCf829Ca9dC6c9f3d5d82183Bce,1000000000000000000
0xdE61924d7A4e15b452ED7C7CA8194E7B16c65688,929446123596549000
0xEB8506E44b64bb1211A730F70CaF54F7e9B5D6df,924165934037416000
0x60059A8B86fd61642771c347e8B354A15e5c235b,889758163110654000
0x27C37b3F44142E55355902459F0ad9834fF2E9FD,811145752828192000
0x54b74Ef33d8343423479560acBB03513eb274f20,809806143163517000
0x9966ac34B5e3dEa45eA1fDCe4658c4f7E5035531,804277788459500000
0x30d2B3076fDb59cC9f2ca7dbF74D9952C550Aad1,800140384592918000
0x9215a51050C39643a121c61DEC3Dc5D5864F6134,766023944712351000
0xB790f3858606c824D2F89531A39962c2404993de,757833036112214000
0x3F9c3b6Ede812EdA9b193852d9B86F00152cCb5d,737600610000000000
0x72feCA3DE58B122bA2f52f74e648ac8d8926E850,736426522000000000
0x611013709f77Dd039F19e36396FA5483fc45658A,735642889977296000
0x6051D2158322DBaAa819871f6AE7Ff7e5082Eb03,721992420909033000
0x720fFf2F87432D546941164e0C2221943044b820,676520006922888000
0x59F94E83373A43B373308F9b4Fc3C51Eaa95EB2E,675117806600027000
0x2d7273CBcd47Cc043f90c72183A90e86fB009E5b,673784170661836000
0xd2A7a1502e363A3Be9bcbB1B7b0D5B012dF1b21d,673422001980000000
0x61c4E9561B58E8797c13dc4820aDC26F41F40b43,662397200110928000
0x5344F3bBB45541988a7d44651922c5575FBc8E17,656328898000000000
0xDDcb1B25E5C88216bcE9C4D94FFDF9f67D06DC74,654140369482038000
0xc5019E129b75D380d3d837B8e609dEc6c8f5d044,645391196495863000
0x99790C4E8Bb78eFE2B487E8D1fBA10e94Fde311D,645159899962385000
0xb9012E901F0d44611295CE7eEE34Ff7b3899B8Dc,627008867070379000
0x24e018cD4f66568F1327877D6BFC028B8D38aBFa,603290176132278000
0xA14e0D5Fa163A7C4509d8d3BCbAF63E75Fa1f2A2,572815614037110000
0xDc5b30E790d6069B8D0eB2055C28b5732aB3d1Aa,571553689977827000
0xDbc5AdcBD61CcCbFC6b738d22b425A40131e03f2,519308211133190000
0x03A0762d7fD775dA4D9A052E50C879aedF781686,506017039948203000
0xa23CB68780be74b254a5f7210Ec6cF1c76289953,502557470382487000
0x33188839e95Ff9fb1DC32C9CF6D1760682471bE7,491948942468702000
0x86AA40DB3cA71ef59037055FA1897fe2CEF01939,454047162154768000
0x58BC55Bd361ADfdd5B87A0FfB09412eF5050459c,452075727164607000
0x766b0cf7bC9163e6a3a48cD83B375D0E275deC62,450165922789064000
0x5bB1Ae0B31e09a2857a947e8Ede362951558b333,447804339422673000
0xCeC89016Ad861dF980440317D328B0b014176e07,439139828727138000
0xF31ccFA657abEab1AF2516767891D10b54DC4Ecc,433891961538186000
0x717A837Fe9E3201dAb2fB3644BB70955e7f5E470,433450759522155000
0x6CA165F2FF93d5350cf0d1CD4495bb082B4150B4,432367003657825000
0xBFB2428e74C71ff3E103f7C8A2D7c94d4cE5F995,410775093988206000
0xe89bF34601De75BBEC6E77aC3Fb0f381F8b60980,405673662585185000
0x07288474399ACC38f60eC316332b8F4471F3cfBc,401980657302581000
0x425240BbA92D6D49012531B16e9Cbc3266E011e1,391162880490115000
0x8478D33B3624b2B3566A389084B0Cb5B1e1DaEc2,388457043304652000
0xea40b0f6BA2aD77fF2FedAe98Ca67EaefCBCBE4A,382815810052225000
0x579992772A910F703b5b4462BC930d251F165a72,375427594191707000
0x3831ED91De0e50260d3fA8926de5A34493fa6e58,372700224350976000
0x8776934058C69F325C3c9C4c50bCF42151D2A5c7,370690473199971000
0x05F539bA3cA39960Cab009b4B41F9A6770b6C992,368373637218827000
0x4bDa58C45225B8A4ae287637b1ecF59fb9c80fdC,367371213962917000
0x5f98d7998F85d96B23bd5D3Ff4dF90E531060b0A,356042296131170000
0x2282440cd97ea4D52b9c86d492dceeD8ED3A34e8,352343641081741000
0xA9fe5b134cb8ff8D4F545C8FaDff920AF00130cA,352059282806537000
0x81d175157C4f448840a4C2782f1158A5E3B579CF,347027944510400000
0x0c44fC9b98DCcCdAC2b027d17F484F14AB95cD84,345574373110945000
0xB04ab7B9E04878a99E70733D026C1d93c0DbE38B,344608925289596000
0x34a54FcF95cBC590D3c8E8CCe19485a33C6d3828,343434343400000000
0xADDCf427B56f8E413073BEcA0e0CF69A833Ac1fd,342254000000000000
0x96D2F048507ed503f8528B466c62532033F6ccb8,339122309023231000
0x3568cb689C9077E5946C71C3685Be44A96F18CD6,332096904218670000
0x9C71c8aCfFF359415a66F50E49Be6C8E6D3167E1,331955851194158000
0xf0D5127F685Fe058247E03593D04CC2C4aA061A2,328896687318235000
0x20d2BE2972e00d66C2f2591F04dc0e8cfEC5AaA9,327991496512476000
0x73814c0bA4A19d052fee42ed0b25068894D0EE01,302965256760238000
0x67F155474eb685aEF6cd874169f25B3Bded6Aea6,301679243704082000
0x17c09406cA6e612893A104e4DD9b1Bc55D4C1120,300722077402812000
0x09F1e9593492A524DF8668b873110d9c658c841e,300000000000000000
0x7f38570bb43987919EE4196f66Cabe2B43617F6f,300000000000000000
0x7caDDbD0900Cf7Cf13CD41Ec8a9e36659195f5a4,300000000000000000
0x808825eBaB61689c5fEd9e7E222C1e3cB3Fd6F69,289698596151609000
0xC5651b67c6Ef9c5A9315BA671a9097aB74D4be77,277477776573091000
0x1aDcF07389b1F6605C44a7683c50A5243829A92C,272929426096990000
0x3C58A909B48eD8b56fCd09BAC848434e6090368a,269088196501333000
0x7D20fD0B4720C42ac44267d07401E50aC7cd3D63,266012534848896000
0xFC2d2A1D22B087be15b9d040A92849F18De4c2E3,258100062202391000
0x0fA3A899C816F3c703c7a383eac557AEbe302d2E,254836485262524000
0x0f65c7d2faaC5B30d00840B775663792588528E1,254482336133355000
0xfcf6a3d7eb8c62a5256a020e48f153c6D5Dd6909,250926529167089000
0x5D2c6eb3C5B4E07e0B50f818049bECf7EAd22893,247907823437839000
0x9d1f35E0da0AB003c12B64b54046338BD7B62Fbf,243430000000000000
0x403c2d4099179e178A0B9860139f0284A63c8690,243110209773313000
0x792BC283a68616B5F7D84A275B5F19305C5FA123,243090866998774000
0xea90c1A72e87D452f41b140ACF7E62C000b5981d,243008811286602000
0x56F9f3776991c422601c04A7bc87E9006DF81D41,242613920000000000
0xeb97952c39C36aCE5Af7B2919ab058ab9BbCAD12,241873582735002000
0xC2e246952E7f97a1317d3495F8E8df3EC990D9b3,240448006155821000
0xed7e38cDF368fCE96A9C0a73351938C331A653e9,235092456609000000
0xBc159B71c296c21a1895a8dDf0aa45969c5F17c2,233525049669254000
0x4f285E99491F4b32b8c4672C6Fb9fF081E405459,230460633940000000
0x7C9d552f6367e5416F00b69bb80B8Bc7084FF38D,226887125215096000
0xf19e0Cc6DF2Bb4875434Cac57e8A5A31d17793F1,226788086017650000
0x1cb87Cb987f47BD9e932035c58C666309a83f7Cc,226713851343324000
0x757819Fd3A6308289520D0265e98319A6D4E4315,225642114443488000
0x5232C605a2d9a99e0bAc05A15A5C07e705b25cd6,224513548388017000
0x43673D733B6523F32e10aEcFDb736DE41BCBD5bD,221536973739862000
0xBdb2c05a344A7eFC9813367AfE7D50b1DB6D12BE,218719098597854000
0xcb0A15ec494F91981962cAA16E5db01ad43E0e60,216628438250430000
0x7BF8bDd5b8E2E459e44eCB2492C4F8a9714E5b4C,216329193318747000
0x2878e6ada808317a8eD8369fc4C8f4Ab691dEA3d,213171872324381000
0x7058A146eb29674a5ae69Ea3BDD33cC100031DB3,211777889958349000
0x9e9F109Fa715b50fA4475c922FD42Fc9FE1f8EDC,211768276103002000
0x70a96ea5A3F8f0C4fC0fa010149cFED06b898456,209968084012205000
0x23BEC1079a0cA4D89fE200A87Fd0E4EE91069A16,207575288644881000
0x7E71B061C6652f1ca27CFA6DeC5457A144dCea72,206417290823909000
0xf032F533a8814741345215A0710B0364953387A5,202871181954460000
0xF972dDD003220D95748e9200b36165CfcB449451,201412982168621000
0x3Cc16D50160a250745B0CBB9DfEe65c264a7806b,200000000000000000
0xa09e158ae3fc7ed433855ca1f562AFb23C8B0097,199744607339933000
0xdC9C1e1d7d8AB77aA0090fB981a811f3E5127484,198720718918926000
0xa55434b69869A20831d0A7235F612E59ED3746F8,197867035164016000
0x47A0A7653a39643240d7b11854e68b2dAeA9002B,194038249861982000
0x920d5E63CA6B2b2D073680DBc635BAD9D57c38CB,194000000970000000
0x8D95686030b3E37f45d84B0E871f7C1Dd3DFE396,194000000000000000
0x3816F8d2389065c14e6b797Be451272F2E498dA0,193874657907862000
0xf3716DfFbE39EB29f895a208fF2f888bF8D91841,192653628662628000
0x7C9355a79BBa1Dd89Ee6b02169eE815f5c35A53E,192192709615753000
0xE4a46BDc92E761B831391600eBEF5c46c918762C,190579856108600000
0x2607ABA1AE13FA3A020aD78d987F8a476783a61e,188900813006218000
0x8f4Fe8672405a48bdd1C5cC204E6725673CC6369,188426476030000000
0x5460eC956Ac8c5AB63F0f052Adb5a6B48300d4CD,188069888128542000
0x2579cdFbf19619D3DeB4aCdeB6160D4420E041EE,187270256601556000
0x670e8F3bEcF87684712235Bb3972278D857b15c0,186854352373782000
0xf2d90FafcA72543bAD632Ddce18c666Fb8119315,186240830078575000
0xeeBACbe97a8fc080aE2B372CE2191f360667A22E,185069911658580000
0x1621624A6A5450Bc25f33e68212499a7a85FDCcA,183210000000000000
0x439630417787aBbA671872cd2e4647B2Bf2048e3,181749393138176000
0x045406Dc06D1D57113Bc10E08cDCe4830122fc9E,180496793034727000
0xBD9BD1A9C14e31c870368c61A8f8c86427cc97e7,180000200000000000
0x7B5197c08054a83697EC96d50Def469ee846398a,178632314096520000
0xd3534f443fb228dD1341037e71C3803863018489,178277873652506000
0x0E30D672Ef2acC53A79d8A233ce4f3353DD48472,178073898615863000
0x27B373DB09f792aa65474a0103260F2f46f6afc0,177334863050258000
0xe2Be8a9e68eb834fE7D41E16bC726a8445B37398,174682762606407000
0x7B3669E04E3D40d00d92655E84477A2A5CBc586b,174155511322732000
0x34F8a193E3BEf97D4C554928b665F1aF635e5D48,172119482998264000
0x6991B1B4a340f2a25f48F50f12E481eaCD172452,170856734937242000
0xDb68D289CAeaEeaa6A343dbCe5B4C85777744230,170725975168109000
0x216a80Eb97F85FedEE28A0442afC7028bbDD597b,170085525297821000
0xbb9efF85B76Fb7C97C9347712f7515D7d05d0dF3,170000000000000000
0x952bB67354eAa359CeE1bFcaD487141031174E8d,168357648731713000
0x3a786da86CfD23fC5919D4eb46Ccf0517a680ca6,168351102090567000
0xFa25f3fc8CBe24444693482efA2A9258fC37fa9E,164276172200000000
0x4a3214195FFddE71B928B51115baf78F00b7B953,163708626022291000
0xC9197416Ef1Ee8eC5723D1e3C89B5ec5F2c8A62E,163328762545323000
0xFdfff4D6b0dEF8F4B558D858470b64104b4c3889,162936375586004000
0x08a5E85111bF6359C4AB1D9ef168A84939332511,162180278234080000
0x4BC3B16D381b60caA4b77E9a3cDd6E24da2d35aE,160504751786827000
0xFC1C91462c6C858021a74Ba0178Dd185AB70FD7c,160310530533905000
0x80aBb765dA8054AE7a7D3160ba78A5bfe930EefF,159407720051306000
0xE36a124CaA7Ee0b75A96A934499CE68DaC6D9562,156459385986054000
0x8E96a887a621D74AAdC1aF1Fd2CEca2163F05ED2,155358555212618000
0x66508ac073baab27706b5F02260e990388A004C8,155212821674772000
0x4B6E042fda2EeBE6591e9EA1d6B5a079c6cfb167,153014586950340000
0xC68c9dA10e745c9e25d46156e153Aa8979454658,152974557065307000
0x980490576A7E75B844dA014640C29C7D2C4F4e27,152296860831203000
0x506a2e7cACeE565edC04FA8a340f717aa4fF28A3,150899290833867000
0x55e0BFb2D400e9Be8cf9b114e38A40969a02F69A,150289345156867000
0xEA987D95b356b147d9C605AaAba11c6e50051aB3,150089229534481000
0x9c438484aa2a4be6A556a588193610cB77971bdC,148946537671991000
0x0eb9a7ff5cBf719251989CAf1599c1270Eafb531,146561367892790000
0xa959a8D9f4388DFfC6c0c6e978995fDa5c388eE0,145038686371020000
0xc6D69409260919E8517BB9c59A71A818346d5875,144681313357879000
0x2b8e4254BC0cc489B06E91b225AC893B641B944F,142919808281854000
0x6072d5be1cC972094175D3b8C1777C605b606b91,142691737024198000
0x43EbE5673B140816Ef8c298fD282a29f18151a8E,140351670102926000
0x229359bF50EB075766dfD6EE27fb9B0c59c45630,139673265671032000
0xb2B4121B0c790a93d91F0aaC6556a941eEb3c34e,139591730970000000
0x90b6f2ad2FCE22F04062163578085e1c83a4735d,138616226072030000
0xe4E2e22E877C196c07F7520dE3193106e88a0407,138113456026228000
0x7a76BfeA2490fe00e9A9A128ba7BF17718fbBC02,137094498093179000
0xec869f513CB6d11950bA980783C80b73CF57bEaE,136904096274369000
0x2a6704aBD642917Ef20Ec90B88A9493995B6b2C9,136847454174207000
0x34E2bd828824D7E0e8055981b0d6669549f08208,135631133001507000
0x863b89bDabA9E6B60C94bF216a62995b2d2aEBa0,135374108019821000
0xd443205d170F8feCDce9ddF8bFbe3edE94a3D0D2,135122665358718000
0x41d3bED71E3cF5330ff49C0778790c79Ad8f6B8B,134978291808503000
0x511dbE9e6b7EDE607f47D00a681BD5C7a6D397A1,133096055109225000
0x1D894fa94B17486f2F096624e32826Eed22dcF12,132645632495632000
0x6438057CE2Bc8f201b2eb3594b6BD7D19171504A,131911227490165000
0x475c3D8ED09774069D028B4BC009fecB07f2517D,131216933568775000
0xb2D208791715281B3f38EAe9cEEBFaFBf92EEda3,131177839288781000
0xa1B3D08167497fba7E4Fc92C05642cd3aDAe0457,129403001741279000
0x68F54D4bCA7cCC451bf25c1b3A6D04843c020fd3,129352377679180000
0x3A1eC106F70635dDc61DE31f1B06F6d03beCfa61,127963257864867000
0x2090DF7d17DF4958bed4c3fE8d3992a7e3e5772f,126125181626432000
0xB2001c6827F908AcF72C38e9FDD98085e61E4125,124824745927865000
0xCC3f9646fe5d2E7A26473827C5f1Dcd87B69AcC2,124475664170189000
0xd4AEA2a582C6307E4D1CA50E1d0432f32b3414df,123781176423586000
0x7401F303867212848Ad2e9805e209f43207a2950,123570445919081000
0xbe48E92E0696156A3d20343FbE2F93531848A896,122782156649476000
0x57239D7c933Bff82cEf54DBE80d0FF47D8FC9478,121886001000000000
0xB60113055f5B1dC5211cdF1A23fE2ABE8bF6da69,121863589914990000
0xA03944Ba6F2463526e030CfA1d65Eb65c021c687,121353549940000000
0xb951DA3870f7b7d1e3f9249c18e93D5CC5c3565c,120000000000000000
0x8Faba3912951e0Cc0aBeE1F7d4115405F9bB3109,118642129889693000
